FL	TAS [kts]	fuel1	TAS [kts]	ROC [ft/min]	fuel2	TAS [kts]	ROD [ft/min]	fuel3
0			157	2140	129.4	142	1100	9.4
5			158	2120	128.1	143	1100	9.3
10			159	2100	126.8	149	1100	9.3
15			166	2180	125.5	160	1100	9.2
20			167	2160	124.2	192	1150	9.2
30	261	40.4	190	2450	121.6	230	1330	9.1
40	265	40.4	225	2800	119.1	233	1340	9
60	272	40.4	272	3010	114.1	240	1370	8.8
80	280	40.3	280	2880	109.1	280	1640	8.6
100	289	40.3	289	2750	104.1	289	1680	8.4
120	356	47.8	356	2670	99.4	356	2310	8.1
140	366	47.6	366	2490	94.6	366	2340	7.9
160	377	47.5	377	2310	89.8	377	2370	7.7
180	388	47.3	388	2130	85.1	388	2400	7.5
200	400	47.1	400	1940	80.5	400	2740	7.3
220	412	46.9	412	1740	76	412	2760	7.1
240	425	46.6	425	1550	71.6	425	2770	6.9
260	438	46.4	438	1350	67.2	438	2780	6.7
280	452	46.1	452	1150	62.9	452	2790	6.5
300	459	45.1	459	1360	58.6	459	3830	6.3
320	455	43	455	1170	54.5	455	3620	6.1
340	451	41.3	451	970	50.4	451	3430	5.8
360	447	40	447	750	46.3	447	3270	5.6
380	447	39	447	470	42.4	447	2910	5.4
400	447	38.3	447	240	38.5	447	2840	5.2
